company,year
Windsor,2019
Winford Wealth,2024
Wingman,2019
Wit.ai,2014
Wolfia,2022
Wondercraft,2022
Wordware,2024
WorkDone,2025
Workflow86,2022
Worklytics,2018
Writesonic,2021
Xobni,2006
Yarn,2024
YesGraph,2015
Yhat,2015
Yondu,2024
Yoneda Labs,2024
YouShift,2025
Yuma AI,2023
Yummy Future,2019
Zapi,2022
Zeit AI,2024
Zeitview,2015
Zen99,2014
Zenbase AI,2024
Zendar,2017
Zeo Route Planner,2020
Zeon Systems,2025
Zep AI,2024
Zero Health,2025
ZeroEntropy,2025
ZeroPath,2024
Zeta Surgical,2019
Zimi,2024
Zorba,2022
Zumo Labs,2020
Zuni,2024
Zyper,2018
amiloz,2022
askLio,2023
assistant-ui,2025
autarc,2024
autone,2022
awen,2025
bloop,2021
camelAI,2024
camfer,2024
careCycle,2025
cloud humans,2021
co.dev,2023
crmCopilot,2024
dili,2023
dmodel,2024
eBrandvalue,2015
edgetrace,2024
ego,2024
emojis.com,2025
eqtble,2021
et al.,2024
expand.ai,2024
finbar,2025
fixa,2024
flexEngage,2016
garten,2016
goodfin,2022
haddock,2022
iSono Health,2016
ideate.xyz,2024
inBalance,2021
inFeedo AI,2020
iollo,2022
ion design,2024
jo,2024
kapa.ai,2023
kater.ai,2024
mdhub,2024
mrge,2025
mutable.ai,2022
nCompass Technologies,2024
nao Labs,2025
ngrow.ai,2022
"numericcal, inc.",2018
nunu.ai,2023
outloud.ai,2021
phospho,2024
rct AI,2019
rift,2023
sudocode,2023
supercontrast,2024
superglue,2025
sync.,2024
telli,2024
throxy,2025
trebu,2022
truemetrics,2023
vly.ai,2024
voize,2022
Ångström AI,2024
