task,occupation,paper_count,paper_ids
Assign cases for students to hear and try.,"Law Teachers, Postsecondary",21,"2301.05327,2309.12309,2310.01420,2312.04889,2312.07559,2401.04259,2402.09216,2403.02574,2403.02959,2404.07963,2406.17987,2406.19226,2407.12861,2407.16252,2407.21170,2408.08089,2409.03512,2410.02507,2502.06882,2502.14767,2504.14928"
"Assign duties, responsibilities, and spans of authority to project personnel.",Information Technology Project Managers,230,"2303.17580,2304.08103,2305.15334,2305.16653,2305.17144,2305.17390,2305.19118,2306.07906,2307.07924,2307.12856,2308.05481,2308.08155,2308.10848,2308.11601,2308.12519,2309.00986,2309.17176,2310.01627,2310.02124,2310.02170,2310.04406,2310.05915,2310.08740,2310.10645,2310.16340,2310.17140,2310.19998,2311.00416,2311.05657,2311.05772,2311.06622,2311.08803,2311.09818,2311.18751,2312.00326,2312.01090,2312.03022,2312.04854,2312.06677,2312.13010,2312.17025,2401.01614,2401.04259,2401.05268,2401.06201,2401.06603,2401.15724,2401.17464,2402.00798,2402.01469,2402.01737,2402.01750,2402.03610,2402.04253,2402.10178,2402.11489,2402.11534,2402.12275,2402.12914,2402.14672,2402.16823,2402.17574,2403.03031,2403.03101,2403.03481,2403.04746,2403.08978,2403.11381,2403.11886,2403.12482,2403.17246,2403.19962,2404.01744,2404.02183,2404.05569,2404.07103,2404.07439,2404.09248,2404.09339,2404.13050,2404.19705,2405.04118,2405.06691,2405.10292,2405.12035,2405.13009,2405.13021,2405.15793,2405.16510,2405.16533,2405.17402,2405.20252,2405.20347,2406.01422,2406.02818,2406.04151,2406.06799,2406.07155,2406.08979,2406.10803,2406.10958,2406.11176,2406.12125,2406.13381,2406.18082,2406.19226,2407.03884,2407.07061,2407.10718,2407.12871,2407.14402,2407.14414,2407.16741,2407.17695,2408.01380,2408.03615,2408.03910,2408.06458,2408.06520,2408.07060,2408.09785,2408.11021,2409.00608,2409.01392,2409.03512,2409.04181,2409.07429,2409.09040,2409.10372,2409.12147,2409.16120,2409.16220,2409.16686,2410.02089,2410.02958,2410.06949,2410.07706,2410.08164,2410.09407,2410.13757,2410.14627,2410.17236,2410.18963,2410.20007,2410.21784,2410.22457,2410.22552,2410.24032,2411.01114,2411.01643,2411.02223,2411.02937,2411.04329,2411.04535,2411.08432,2411.13451,2411.14484,2411.15004,2411.19443,2412.00652,2412.04141,2412.05449,2412.06412,2412.10425,2412.11713,2412.14161,2412.15701,2412.17867,2412.18428,2412.20005,2412.21139,2501.00224,2501.01205,2501.04575,2501.05255,2501.07813,2501.08406,2501.11107,2501.16607,2501.18816,2502.00988,2502.01390,2502.02067,2502.02533,2502.02534,2502.04306,2502.04392,2502.04644,2502.07373,2502.10857,2502.11140,2502.11271,2502.11404,2502.11705,2502.11882,2502.13681,2502.13957,2502.14848,2502.17543,2503.01490,2503.02519,2503.02682,2503.05592,2503.05641,2503.09572,2503.10689,2503.13514,2503.14484,2503.15521,2503.18492,2503.18494,2503.18666,2503.20791,2503.21735,2503.22473,2503.22708,2503.23314,2504.00587,2504.02965,2504.06271,2504.07421,2504.07643,2504.08525,2504.09781,2504.10055,2504.10458,2504.11788,2504.12330,2504.12477,2504.12734"
Assign or schedule tasks to meet work priorities and goals.,Computer and Information Research Scientists,663,"2301.12050,2302.04761,2302.10646,2303.08268,2303.09031,2303.11381,2303.17491,2303.17580,2303.17760,2304.00116,2304.04370,2304.05332,2304.07297,2304.08103,2304.08244,2304.09349,2304.09842,2304.09991,2304.12995,2304.14721,2305.02412,2305.05091,2305.15334,2305.16653,2305.16986,2305.17066,2305.17144,2305.17390,2305.18323,2305.19118,2305.19308,2306.01729,2306.03460,2306.07209,2306.07906,2306.07929,2306.08129,2306.09299,2306.15724,2307.02485,2307.05973,2307.06187,2307.07162,2307.07697,2307.07924,2308.02151,2308.06391,2308.08043,2308.08155,2308.10848,2308.11601,2308.11730,2308.12519,2308.12923,2308.15214,2309.00986,2309.01352,2309.08112,2309.08172,2309.08949,2309.11436,2309.13007,2309.16090,2309.17176,2309.17179,2309.17234,2310.00322,2310.01444,2310.02071,2310.02124,2310.02170,2310.02264,2310.03714,2310.03903,2310.04406,2310.05029,2310.05746,2310.05915,2310.06272,2310.07889,2310.08101,2310.08535,2310.08740,2310.09233,2310.10645,2310.10686,2310.13227,2310.14403,2310.15166,2310.16427,2310.17140,2310.17512,2310.19998,2310.20151,2311.00262,2311.00416,2311.03220,2311.05437,2311.05657,2311.05772,2311.06330,2311.06622,2311.07076,2311.07590,2311.07850,2311.09618,2311.09721,2311.09818,2311.11904,2311.17371,2311.17842,2311.18751,2312.00326,2312.01090,2312.03022,2312.04854,2312.04889,2312.06677,2312.07540,2312.07559,2312.08926,2312.10003,2312.11242,2312.11282,2312.11671,2312.13876,2312.17025,2312.17180,2312.17515,2401.01614,2401.02777,2401.02870,2401.03945,2401.05268,2401.05507,2401.06201,2401.06603,2401.07324,2401.08577,2401.12178,2401.12963,2401.13256,2401.13649,2401.14016,2401.14151,2401.15724,2401.16788,2401.17244,2401.17464,2402.00798,2402.01030,2402.01118,2402.01135,2402.01469,2402.01750,2402.01788,2402.02643,2402.03299,2402.03610,2402.03719,2402.04253,2402.04559,2402.05188,2402.05733,2402.05930,2402.06634,2402.07401,2402.07872,2402.08392,2402.10051,2402.10178,2402.10890,2402.11359,2402.11451,2402.11489,2402.11534,2402.11550,2402.11941,2402.12234,2402.12275,2402.12327,2402.12914,2402.13212,2402.13547,2402.14320,2402.14658,2402.14672,2402.14851,2402.14891,2402.15610,2402.15809,2402.16823,2402.17505,2402.17531,2402.17574,2402.19446,2403.00820,2403.02502,2403.03031,2403.03101,2403.04382,2403.04746,2403.04783,2403.06221,2403.07376,2403.08140,2403.08978,2403.11886,2403.12482,2403.14403,2403.14443,2403.14589,2403.15371,2403.15729,2403.16854,2403.17246,2403.17359,2403.18802,2403.19305,2403.19962,2404.00246,2404.01744,2404.02183,2404.05569,2404.05902,2404.06413,2404.06762,2404.07103,2404.07439,2404.07677,2404.07738,2404.09077,2404.09127,2404.09248,2404.09339,2404.13050,2404.14394,2404.14741,2404.15190,2404.18130,2404.18243,2404.18638,2404.19065,2404.19705,2404.19721,2405.00461,2405.00516,2405.00972,2405.02858,2405.04118,2405.04219,2405.05955,2405.06691,2405.08888,2405.10292,2405.11403,2405.12035,2405.12147,2405.13009,2405.13021,2405.14125,2405.14205,2405.14314,2405.15784,2405.15793,2405.16247,2405.16376,2405.16510,2405.16533,2405.17402,2405.17441,2405.19425,2405.20252,2405.20267,2406.00033,2406.01014,2406.01422,2406.02818,2406.03075,2406.04151,2406.04712,2406.06799,2406.07054,2406.07115,2406.07155,2406.08979,2406.09988,2406.10803,2406.10918,2406.10958,2406.11176,2406.11231,2406.11277,2406.11317,2406.11555,2406.11709,2406.12125,2406.12197,2406.12276,2406.12692,2406.12708,2406.13381,2406.13408,2406.14928,2406.16714,2406.17231,2406.17987,2406.18082,2406.18532,2406.19228,2406.19966,2407.00632,2407.01476,2407.01824,2407.01887,2407.02483,2407.03884,2407.05674,2407.05890,2407.06426,2407.07061,2407.09893,2407.10718,2407.11549,2407.12532,2407.12821,2407.12861,2407.12871,2407.14414,2407.14521,2407.15711,2407.16521,2407.16741,2407.17695,2407.18035,2407.20183,2407.21040,2408.01380,2408.01779,2408.01869,2408.03615,2408.03910,2408.04472,2408.06292,2408.06458,2408.06520,2408.06849,2408.07060,2408.08926,2408.09559,2408.11051,2408.11058,2408.12036,2408.14033,2408.15232,2408.15512,2408.15836,2408.16991,2409.00054,2409.00608,2409.00985,2409.01392,2409.03166,2409.03256,2409.04617,2409.05556,2409.07497,2409.09013,2409.09584,2409.10372,2409.11279,2409.11411,2409.12147,2409.12294,2409.12411,2409.12618,2409.13445,2409.13449,2409.13753,2409.14051,2409.15515,2409.16120,2409.16220,2409.16686,2409.16783,2409.19471,2410.01215,2410.01242,2410.01428,2410.02089,2410.02507,2410.02730,2410.02742,2410.02810,2410.02958,2410.03439,2410.04452,2410.06153,2410.06949,2410.07076,2410.07706,2410.08115,2410.08143,2410.08164,2410.08328,2410.08475,2410.08632,2410.09034,2410.09252,2410.09403,2410.09407,2410.12853,2410.13181,2410.13185,2410.13232,2410.13757,2410.14141,2410.14594,2410.14627,2410.15168,2410.15281,2410.15625,2410.16322,2410.16400,2410.16658,2410.16919,2410.17238,2410.17462,2410.18032,2410.18975,2410.19848,2410.20007,2410.20753,2410.21784,2410.22457,2410.22552,2410.22584,2410.22916,2410.22932,2410.23022,2410.24032,2411.00053,2411.00927,2411.01114,2411.01511,2411.01643,2411.01747,2411.02223,2411.02337,2411.02599,2411.02937,2411.03397,2411.03817,2411.04329,2411.04535,2411.05762,2411.06159,2411.07464,2411.08432,2411.11581,2411.11910,2411.12977,2411.13451,2411.14484,2411.14497,2411.16707,2411.18915,2411.19443,2411.19547,2412.01752,2412.02205,2412.04141,2412.04859,2412.05449,2412.05631,2412.05850,2412.06162,2412.06724,2412.09429,2412.09605,2412.10422,2412.10425,2412.10434,2412.10742,2412.11713,2412.12358,2412.13471,2412.13549,2412.14161,2412.15701,2412.17061,2412.17149,2412.18072,2412.18351,2412.19723,2412.20005,2412.20145,2412.20735,2412.21139,2412.21154,2501.00224,2501.00332,2501.00430,2501.00830,2501.01702,2501.01741,2501.02342,2501.02348,2501.04227,2501.04575,2501.05468,2501.05478,2501.06193,2501.07572,2501.07813,2501.11613,2501.12539,2501.13896,2501.14082,2501.16607,2501.18816,2501.18922,2502.00406,2502.01344,2502.01390,2502.02066,2502.02067,2502.02533,2502.02534,2502.03283,2502.04180,2502.04306,2502.04392,2502.04644,2502.04790,2502.05036,2502.05439,2502.05664,2502.05957,2502.06060,2502.06205,2502.06472,2502.07373,2502.09858,2502.10996,2502.11140,2502.11271,2502.11404,2502.11705,2502.11733,2502.11799,2502.11882,2502.12767,2502.12929,2502.13025,2502.13127,2502.13298,2502.13310,2502.13428,2502.13959,2502.14145,2502.14276,2502.14496,2502.14499,2502.14693,2502.14767,2502.14848,2502.15359,2502.15690,2502.15920,2502.15964,2502.16565,2502.17543,2502.17924,2502.18407,2502.18873,2502.20301,2502.21087,2503.00566,2503.01490,2503.01829,2503.01935,2503.01940,2503.02197,2503.02519,2503.02628,2503.02682,2503.03686,2503.03800,2503.04629,2503.04768,2503.04875,2503.05242,2503.05592,2503.05641,2503.07044,2503.08162,2503.09501,2503.09572,2503.09639,2503.13514,2503.13553,2503.14269,2503.14484,2503.15235,2503.16024,2503.16814,2503.16874,2503.18102,2503.18494,2503.18666,2503.18891,2503.19271,2503.20201,2503.20279,2503.20791,2503.20978,2503.21263,2503.21720,2503.21760,2503.22122,2503.22424,2503.22708,2503.22726,2503.23314,2503.23415,2504.00255,2504.00406,2504.00587,2504.01911,2504.02051,2504.02128,2504.02670,2504.02965,2504.03160,2504.03174,2504.03561,2504.03991,2504.06271,2504.07304,2504.07421,2504.07643,2504.07830,2504.09781,2504.10036,2504.10127,2504.10458,2504.11243,2504.11536,2504.12330,2504.12477,2504.12682,2504.12734,2504.13079,2504.13203,2504.13472,2504.14239,2504.14597,2504.14822,2504.16728,2504.16855,2504.16918,2504.17192"
Assign stories to other reporters or duties to production staff.,"News Analysts, Reporters, and Journalists",34,"2304.00116,2310.05029,2310.10467,2310.13549,2311.00416,2312.04889,2402.14207,2403.02574,2403.09498,2403.17359,2404.09077,2404.13050,2405.01593,2406.02795,2406.19643,2407.09893,2407.20183,2409.14913,2410.00354,2410.01039,2410.07561,2411.00784,2411.05762,2412.10510,2501.00888,2501.02348,2501.04227,2501.06189,2501.09993,2502.18873,2503.11346,2503.15272,2503.17684,2504.13079"
Assign tasks or coordinate task assignments to ensure adequate performance of laboratory activities.,Cytotechnologists,39,"2304.05332,2306.10765,2310.02170,2311.00416,2311.05772,2311.10537,2401.14589,2402.10178,2402.13448,2403.15464,2403.17246,2404.15155,2404.18021,2405.16205,2405.16510,2406.00922,2406.13381,2406.13890,2407.02483,2407.12821,2410.02026,2410.12532,2410.12868,2410.17657,2411.00248,2411.03395,2412.01605,2412.05449,2412.09429,2412.12475,2412.15701,2412.16172,2412.21154,2501.05464,2502.01390,2502.13959,2502.19175,2502.20335,2503.16463"
"Assign topics, events and stories to individual writers or reporters for coverage.",Editors,84,"2310.05029,2310.05915,2310.08101,2310.10467,2310.13549,2311.00416,2311.05437,2311.09510,2312.04889,2312.13876,2401.04259,2401.13256,2402.01750,2402.01788,2402.03719,2402.07401,2402.09727,2402.11550,2402.11770,2402.12556,2402.14207,2403.02574,2403.12482,2403.15434,2403.17359,2403.19305,2404.09077,2404.13050,2405.01593,2405.19425,2406.02795,2406.10478,2406.12197,2406.12639,2406.19643,2407.09897,2408.05346,2409.00054,2409.01854,2409.07497,2409.12411,2409.12618,2409.13449,2409.13740,2410.01039,2410.02603,2410.07561,2410.08143,2411.00784,2411.00816,2411.06159,2411.07656,2412.06229,2412.10415,2412.10510,2412.11167,2412.14161,2412.15701,2412.20005,2501.00888,2501.02348,2501.06189,2501.09993,2501.15056,2501.17104,2502.00322,2502.01390,2502.04376,2502.07165,2502.10937,2502.12568,2502.14767,2503.04629,2503.05242,2503.08275,2503.11346,2503.14484,2503.15272,2503.17684,2504.00824,2504.02867,2504.07385,2504.07643,2504.13079"
Assign work to biostatistical assistants or programmers.,Biostatisticians,65,"2304.05332,2304.09991,2306.07209,2306.10765,2311.09721,2312.07559,2401.07128,2402.10178,2402.11451,2402.13225,2402.16823,2402.17879,2403.15464,2403.15729,2404.07738,2404.14777,2404.15155,2404.18021,2406.13890,2406.15363,2406.17755,2407.00541,2407.21040,2408.01380,2408.13378,2408.15512,2409.18924,2410.02551,2410.09403,2410.10270,2410.12532,2410.13610,2410.14041,2410.17462,2410.17657,2411.00046,2411.00248,2411.11910,2411.18915,2412.09429,2412.12475,2412.21154,2501.04227,2502.00988,2502.04392,2502.12836,2502.13025,2502.14499,2502.18531,2502.19175,2502.20335,2503.06074,2503.07044,2503.13205,2503.16463,2503.22708,2503.23314,2504.02051,2504.02891,2504.06196,2504.07421,2504.07643,2504.08066,2504.14594,2504.16918"
Assign work to staff to obtain maximum utilization of personnel.,Petroleum Engineers,24,"2304.04370,2310.02170,2311.00416,2311.05772,2402.01053,2402.05733,2402.11489,2403.12482,2405.14205,2405.16510,2405.19425,2406.13381,2408.06520,2410.21784,2411.01114,2412.05449,2412.15701,2501.00224,2502.01390,2502.02066,2502.04376,2503.09572,2504.02051,2504.06260"
"Assign, coordinate, and review work and activities of programming personnel.",Computer Programmers,696,"2301.12050,2302.00763,2302.04761,2302.05507,2302.06692,2302.10850,2302.11649,2303.03480,2303.08268,2303.09031,2303.11366,2303.11381,2303.17491,2303.17580,2303.17760,2304.00416,2304.05332,2304.08103,2304.08244,2304.09349,2304.09842,2304.09991,2304.14721,2305.02412,2305.08291,2305.15334,2305.17066,2305.17144,2305.18323,2305.19118,2306.03460,2306.07209,2306.07906,2306.07929,2306.08129,2306.10765,2306.15724,2307.02485,2307.06187,2307.07162,2307.07924,2307.12856,2308.01404,2308.01734,2308.02151,2308.05481,2308.05935,2308.06391,2308.08155,2308.10144,2308.10848,2308.11601,2308.11730,2308.12086,2308.12519,2308.12923,2309.00986,2309.01352,2309.05076,2309.08172,2309.08949,2309.11382,2309.11436,2309.12161,2309.12276,2309.13007,2309.16090,2309.16292,2309.17179,2310.00092,2310.00280,2310.00322,2310.01444,2310.01627,2310.01957,2310.02124,2310.02170,2310.02374,2310.03293,2310.03714,2310.04406,2310.05036,2310.05146,2310.06272,2310.08101,2310.08535,2310.08740,2310.09233,2310.10645,2310.10686,2310.10701,2310.11954,2310.12821,2310.13227,2310.14403,2310.15127,2310.15166,2310.16427,2310.17140,2310.17512,2310.19998,2310.20151,2311.00262,2311.00416,2311.03220,2311.05437,2311.05584,2311.05657,2311.05772,2311.06622,2311.07076,2311.07850,2311.08166,2311.08803,2311.09510,2311.09818,2311.10813,2311.11904,2311.17227,2311.17371,2311.18751,2312.00326,2312.01090,2312.03022,2312.03664,2312.04372,2312.04854,2312.06351,2312.06677,2312.07540,2312.08926,2312.10003,2312.11242,2312.11282,2312.11671,2312.13010,2312.17025,2312.17180,2401.01614,2401.02777,2401.03945,2401.05268,2401.05443,2401.05507,2401.06201,2401.06603,2401.07128,2401.07324,2401.08577,2401.12178,2401.12963,2401.13256,2401.13649,2401.13919,2401.14016,2401.15724,2401.16158,2401.16788,2401.17464,2402.00798,2402.01030,2402.01118,2402.01135,2402.01469,2402.01586,2402.01704,2402.01750,2402.03610,2402.03719,2402.04253,2402.04636,2402.05188,2402.05733,2402.05930,2402.06634,2402.07872,2402.08392,2402.09205,2402.09216,2402.09727,2402.10051,2402.10178,2402.10890,2402.11163,2402.11359,2402.11451,2402.11453,2402.11489,2402.11534,2402.11941,2402.12212,2402.12234,2402.12275,2402.12914,2402.13212,2402.13225,2402.13547,2402.14320,2402.14658,2402.14672,2402.14851,2402.14891,2402.15057,2402.15809,2402.16333,2402.16823,2402.17505,2402.17574,2402.19446,2403.00810,2403.01248,2403.02502,2403.02713,2403.03031,2403.03101,2403.03141,2403.03481,2403.04123,2403.04746,2403.04783,2403.05468,2403.05534,2403.06221,2403.08140,2403.11381,2403.11886,2403.13002,2403.13313,2403.13433,2403.14589,2403.15371,2403.16854,2403.17246,2403.18802,2403.19305,2403.19322,2403.19962,2404.01744,2404.02183,2404.03648,2404.04735,2404.05569,2404.06762,2404.07103,2404.07439,2404.07677,2404.09127,2404.09248,2404.09339,2404.10887,2404.11446,2404.13050,2404.14394,2404.15190,2404.15923,2404.17525,2404.17662,2404.18130,2404.18243,2404.18638,2404.19721,2405.00516,2405.01868,2405.04118,2405.04219,2405.05955,2405.06691,2405.10292,2405.10620,2405.11403,2405.12035,2405.12147,2405.13021,2405.13034,2405.14125,2405.14314,2405.15784,2405.15793,2405.16247,2405.16510,2405.16533,2405.17402,2405.18358,2405.19425,2405.20252,2405.20267,2405.20770,2406.00033,2406.01014,2406.01422,2406.02818,2406.04151,2406.04712,2406.06799,2406.07054,2406.07115,2406.07155,2406.08979,2406.10803,2406.10918,2406.10958,2406.11176,2406.11231,2406.11317,2406.11514,2406.11555,2406.11776,2406.12125,2406.12197,2406.12276,2406.12692,2406.13381,2406.13408,2406.13840,2406.14373,2406.14550,2406.14928,2406.16620,2406.17231,2406.18082,2406.18532,2406.19228,2407.00476,2407.01476,2407.01824,2407.02736,2407.03884,2407.05674,2407.05890,2407.06426,2407.07061,2407.09886,2407.09893,2407.09897,2407.10718,2407.11549,2407.12366,2407.12821,2407.12871,2407.14402,2407.14414,2407.15711,2407.16521,2407.16741,2407.17695,2407.21040,2408.00203,2408.00948,2408.01380,2408.02559,2408.03615,2408.03631,2408.03910,2408.04472,2408.06458,2408.06520,2408.06849,2408.07060,2408.08688,2408.08926,2408.09559,2408.09785,2408.10635,2408.11021,2408.11051,2408.11058,2408.14033,2408.16081,2408.16991,2409.00557,2409.00608,2409.00985,2409.01392,2409.01575,2409.03166,2409.04181,2409.04617,2409.07429,2409.09013,2409.09040,2409.09584,2409.11411,2409.12147,2409.12294,2409.12411,2409.12618,2409.13449,2409.13753,2409.14051,2409.15084,2409.15364,2409.15376,2409.15594,2409.16120,2409.16220,2409.16686,2409.17213,2409.18073,2409.18345,2409.19471,2410.00031,2410.01215,2410.01242,2410.01428,2410.02089,2410.02810,2410.02958,2410.03439,2410.04452,2410.05821,2410.06153,2410.06949,2410.07706,2410.08115,2410.08143,2410.08164,2410.08328,2410.08475,2410.08632,2410.09034,2410.09403,2410.09407,2410.09824,2410.10270,2410.11507,2410.12848,2410.12853,2410.13181,2410.13232,2410.13757,2410.13825,2410.14251,2410.14594,2410.14627,2410.15168,2410.15281,2410.15625,2410.16919,2410.17236,2410.17238,2410.17462,2410.18032,2410.18792,2410.18963,2410.18975,2410.19727,2410.20007,2410.20746,2410.21067,2410.21312,2410.21784,2410.21909,2410.22457,2410.22552,2410.22584,2410.22916,2410.22932,2410.24032,2411.00427,2411.00927,2411.01114,2411.01643,2411.01747,2411.02223,2411.02337,2411.02937,2411.03397,2411.03817,2411.04329,2411.04535,2411.07464,2411.08432,2411.09972,2411.10753,2411.11581,2411.12977,2411.13451,2411.14484,2411.14485,2411.14497,2411.15004,2411.16707,2411.18915,2411.19443,2411.19547,2412.01752,2412.02205,2412.03801,2412.04141,2412.04937,2412.05449,2412.05850,2412.06162,2412.06229,2412.09429,2412.09596,2412.09605,2412.10422,2412.10425,2412.10434,2412.10742,2412.11713,2412.12898,2412.13471,2412.14161,2412.14769,2412.15462,2412.15701,2412.16172,2412.16176,2412.16682,2412.17061,2412.17149,2412.17867,2412.18072,2412.18093,2412.18351,2412.18428,2412.19723,2412.20005,2412.20145,2412.21139,2501.00224,2501.00332,2501.00430,2501.00830,2501.01205,2501.01702,2501.02342,2501.02348,2501.04575,2501.05255,2501.05475,2501.06193,2501.07572,2501.07813,2501.09426,2501.09993,2501.11107,2501.11613,2501.12399,2501.13896,2501.13946,2501.14731,2501.16327,2501.16607,2501.18816,2501.18922,2502.00406,2502.01344,2502.01390,2502.02066,2502.02067,2502.02533,2502.02534,2502.04180,2502.04306,2502.04392,2502.04644,2502.04790,2502.05957,2502.06060,2502.06205,2502.07128,2502.07165,2502.07373,2502.07487,2502.08820,2502.10857,2502.10996,2502.11140,2502.11271,2502.11404,2502.11705,2502.11733,2502.11799,2502.11882,2502.12561,2502.12767,2502.12929,2502.13001,2502.13127,2502.13298,2502.13311,2502.13428,2502.13681,2502.13920,2502.13957,2502.14145,2502.14276,2502.14496,2502.14499,2502.14693,2502.14848,2502.15359,2502.15690,2502.15920,2502.15964,2502.16565,2502.17543,2502.17651,2502.17924,2502.18407,2502.18873,2502.19500,2502.21087,2503.00162,2503.01490,2503.01935,2503.01940,2503.02197,2503.02519,2503.02628,2503.02682,2503.03686,2503.03800,2503.04768,2503.04787,2503.04875,2503.05242,2503.05592,2503.05641,2503.07036,2503.07044,2503.08162,2503.09089,2503.09501,2503.09572,2503.10689,2503.11237,2503.13205,2503.13514,2503.13553,2503.14269,2503.14484,2503.15235,2503.16024,2503.16505,2503.16814,2503.16874,2503.17553,2503.18492,2503.18494,2503.18666,2503.18891,2503.19271,2503.20201,2503.20279,2503.20791,2503.20978,2503.21263,2503.21720,2503.21760,2503.22038,2503.22122,2503.22424,2503.22473,2503.22708,2503.23314,2503.24228,2504.00255,2504.00406,2504.00587,2504.02051,2504.02128,2504.02867,2504.02965,2504.03160,2504.03174,2504.03561,2504.05527,2504.07421,2504.07643,2504.08725,2504.09781,2504.10036,2504.10055,2504.10127,2504.10157,2504.11243,2504.11536,2504.11788,2504.12322,2504.12330,2504.12477,2504.12682,2504.12734,2504.13079,2504.13203,2504.13472,2504.14239,2504.14538,2504.14597,2504.16073,2504.16918,2504.17192"
"Assist drafters in developing the structural design of products, using drafting tools or computer-assisted drafting equipment or software.",Mechanical Engineers,35,"2304.04370,2304.05332,2304.14721,2305.16653,2305.17390,2309.17176,2310.02118,2310.08740,2310.16427,2311.00416,2311.08166,2311.12871,2403.01248,2403.15434,2404.17525,2405.14205,2406.16903,2408.08054,2408.14307,2408.15512,2409.00135,2409.18345,2410.21909,2411.01114,2411.14485,2411.19539,2412.12898,2501.00224,2501.01205,2501.13896,2502.04392,2503.09572,2503.18666,2504.05527,2504.06260"
Assist in laying out material for publication.,Technical Writers,110,"2302.11649,2303.17491,2304.08103,2304.08244,2305.15334,2308.01423,2308.05935,2309.00986,2310.02118,2310.02170,2310.05029,2310.08101,2311.05657,2311.07076,2311.09510,2312.04889,2312.07559,2312.13876,2401.04259,2401.06201,2401.07324,2401.17244,2402.01053,2402.01788,2402.11451,2402.11770,2402.12914,2402.13547,2402.14207,2402.14871,2402.14891,2403.02574,2403.03031,2403.03481,2403.04382,2403.13002,2403.15434,2403.15729,2404.07103,2404.07738,2404.17460,2405.15793,2405.16247,2405.20252,2406.10478,2407.06426,2407.12821,2407.12871,2408.05346,2408.06292,2408.06458,2408.07060,2409.00054,2409.00608,2409.12411,2409.12618,2409.13449,2409.13740,2409.16120,2409.19006,2410.01039,2410.01215,2410.07561,2410.09403,2410.09631,2410.11507,2410.13185,2410.14262,2410.22932,2411.00816,2411.01114,2411.06159,2412.09796,2412.14161,2412.15242,2412.18093,2412.21139,2501.00224,2501.02348,2501.04227,2501.05468,2501.06189,2501.14731,2502.00988,2502.04485,2502.04644,2502.05957,2502.06472,2502.12568,2502.13957,2502.14499,2502.14767,2502.15412,2502.17651,2502.20541,2502.21087,2503.04629,2503.08275,2503.09089,2503.11346,2503.14484,2503.17684,2503.18102,2503.19271,2504.00824,2504.02051,2504.06260,2504.08066,2504.08725,2504.10055"
Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,Search Marketing Strategists,55,"2302.04761,2304.09842,2307.12856,2310.02170,2310.10467,2310.17749,2311.09721,2401.01614,2401.05507,2401.12178,2401.15724,2402.02643,2402.12914,2402.17505,2403.11905,2404.05902,2404.10887,2405.15784,2405.19425,2406.00033,2406.04151,2406.11176,2406.12639,2406.14550,2407.04472,2407.09893,2407.15711,2408.01380,2409.16686,2410.08164,2410.10270,2410.13825,2410.17236,2410.17462,2410.22552,2410.24032,2411.00927,2411.15004,2412.02205,2412.10742,2412.14161,2412.18690,2501.00332,2501.02348,2502.07165,2502.16810,2503.00162,2503.10689,2503.14620,2503.23314,2503.24228,2504.07421,2504.09723,2504.10127,2504.13079"
Attend meetings or seminars or read current literature to maintain knowledge of developments in the field of remote sensing.,Remote Sensing Scientists and Technologists,82,"2303.11381,2304.00116,2304.05332,2306.07209,2306.08129,2307.06082,2309.16292,2310.02804,2311.10813,2311.12871,2312.06351,2312.07559,2312.13876,2402.01698,2402.01788,2402.07204,2402.11451,2402.14744,2403.02574,2403.04382,2403.15729,2403.19839,2404.07738,2405.18358,2406.10958,2406.17987,2407.01231,2407.10718,2407.11014,2407.12861,2407.18035,2407.20183,2407.21024,2408.00948,2408.03631,2408.06292,2408.11051,2408.15836,2409.00054,2409.00135,2409.05556,2409.08069,2409.09040,2409.13445,2409.13740,2410.09403,2410.13185,2410.16400,2410.17462,2410.18792,2410.20666,2411.01114,2411.01511,2411.06159,2411.10753,2411.11910,2412.06412,2412.09429,2412.17339,2412.18428,2412.20005,2501.00224,2501.02031,2501.04227,2502.00989,2502.06472,2502.13025,2502.13957,2502.14767,2502.20541,2503.00566,2503.18102,2504.01911,2504.05527,2504.07421,2504.07643,2504.08066,2504.08694,2504.10036,2504.10157,2504.16728,2504.17200"
Authorize payment of valid claims and determine method of payment.,"Administrative Law Judges, Adjudicators, and Hearing Officers",9,"2301.05327,2306.16092,2403.02959,2407.16252,2408.08089,2410.21784,2412.11063,2502.06882,2504.13847"
