Task,Occupation (O*NET-SOC Title),automation_desire,automation_capacity
"Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.",Supply Chain Managers,3.8333333333333335,4.0
Analyze information about supplier performance or procurement program success.,Supply Chain Managers,2.75,4.0
"Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign.",Mechanical Engineering Technologists and Technicians,2.75,4.0
"Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",Biofuels Production Managers,2.6,4.0
Recommend and implement performance improvements.,Web Developers,3.1,4.0
"Review, evaluate, and approve specifications for issuing and awarding bids.",Purchasing Managers,3.6,4.0
Read corrected copies or proofs to ensure that all corrections have been made.,Proofreaders and Copy Markers,2.857142857142857,4.0
Read and effectively interpret small-scale maps and information from a computer screen to determine locations and provide directions.,Public Safety Telecommunicators,4.0,4.0
Specify users and user access levels for each segment of database.,Database Administrators,2.5,4.0
Plan test schedules or strategies in accordance with project scope or delivery dates.,Software Quality Assurance Analysts and Testers,3.0,4.0
Prepare adjusting journal entries.,Accountants and Auditors,2.7,4.0
"Set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3.0,4.0
Prepare and distribute invoices to bill clients or pay account expenses.,Legal Secretaries and Administrative Assistants,3.3,4.0
"Prepare and issue orders of the court, such as probation orders, release documentation, sentencing information, or summonses.","Court, Municipal, and License Clerks",3.5,4.0
"Edit graphics and photos, using pixel or bitmap editing, airbrushing, masking, or image retouching.",Desktop Publishers,2.857142857142857,4.0
Prepare bid awards requiring board approval.,Purchasing Managers,3.2857142857142856,4.0
Prepare budgets and submit estimates for program costs as part of campaign plan development.,Advertising and Promotions Managers,2.9,4.0
Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.,Cost Estimators,2.857142857142857,4.0
Prepare energy-related project reports or related documentation.,"Energy Engineers, Except Wind and Solar",3.0,4.0
"Prepare financial or regulatory reports required by laws, regulations, or boards of directors.",Financial Managers,2.5714285714285716,4.0
"Prepare insurance claim forms or related documents, and review them for completeness.",Insurance Claims and Policy Processing Clerks,3.1,4.0
Prepare operational or risk reports for management analysis.,Financial Managers,3.0,4.0
Select number of colors and determine color separations.,Desktop Publishers,3.6666666666666665,4.0
"Prepare or maintain employment records related to events, such as hiring, termination, leaves, transfers, or promotions, using human resources management system software.",Human Resources Specialists,2.8,4.0
"Search standard reference materials, including online sources and the Internet, to answer patrons' reference questions.",Librarians and Media Collections Specialists,2.3333333333333335,4.0
"Prepare scale drawings or architectural designs, using computer-aided design or other tools.","Architects, Except Landscape and Naval",2.2,4.0
Prepare two-dimensional concept layouts or three-dimensional mock-ups.,Video Game Designers,3.75,4.0
"Schedule tests or procedures for patients, such as lab work or x-rays, based on physician orders.",Medical Secretaries and Administrative Assistants,3.3333333333333335,4.0
"Schedule classes based on availability of classrooms, equipment, or instructors.",Training and Development Specialists,4.0,4.0
"Process large amounts of data for statistical modeling and graphic analysis, using computers.",Statisticians,3.8,4.0
"Approve proposals for the acquisition, replacement, or repair of biofuels processing equipment or the implementation of new production processes.",Biofuels Production Managers,4.0,4.0
Produce written summary reports of financial research results.,Financial Quantitative Analysts,3.4,4.0
Schedule appointments for sales representatives to meet with prospective customers or for customers to attend sales presentations.,Telemarketers,3.0,4.0
Provide consultation to nurses regarding hardware or software configuration.,Health Informatics Specialists,2.0,4.0
"Provide customers with travel suggestions and information sources, such as guides, directories, brochures, or maps.",Reservation and Transportation Ticket Agents and Travel Clerks,2.25,4.0
Analyze data gathered and develop solutions or alternative methods of proceeding.,Management Analysts,2.8333333333333335,4.0
"Question applicants to obtain required information, such as name, address, or age, and record data on prescribed forms.","Court, Municipal, and License Clerks",3.0,4.0
"Compare information from application to criteria for policy reinstatement, and approve reinstatement when criteria are met.",Insurance Claims and Policy Processing Clerks,3.0,4.0
"Test programs or databases, correct errors, and make necessary modifications.",Database Administrators,3.25,4.0
Design and create special programs for tasks such as statistical analysis and data entry and cleaning.,Social Science Research Assistants,3.7142857142857144,4.0
"Compile and record medical charts, reports, or correspondence, using typewriter or personal computer.",Medical Secretaries and Administrative Assistants,2.5,4.0
"Document physical supply chain processes, such as workflows, cycle times, position responsibilities, or system flows.",Supply Chain Managers,3.5,4.0
Create content strategies for digital media.,Search Marketing Strategists,3.2,4.0
"Correct testing-identified problems, or recommend actions for their resolution.",Web Administrators,3.2857142857142856,4.0
"Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.",Management Analysts,2.8,4.0
"Compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns.",Logistics Analysts,2.25,4.0
Write or contribute to instructions or manuals to guide end users.,Computer Programmers,2.8,4.0
"Verify the accuracy and validity of data entered in databases, correcting any errors.",Social Science Research Assistants,4.0,4.0
"Conduct cost, material, and efficiency studies for biofuels production plants or operations.",Biofuels Production Managers,3.6666666666666665,4.0
"Distinguish between homonyms and recognize inconsistencies and mistakes in medical terms, referring to dictionaries, drug references, and other sources on anatomy, physiology, and medicine.",Medical Transcriptionists,3.2,4.0
Conduct internet-based and library research.,Social Science Research Assistants,3.3333333333333335,4.0
Determine and set product prices.,Online Merchants,2.3,4.0
"Verify attendance, hours worked, and pay adjustments, and post information onto designated records.",Payroll and Timekeeping Clerks,3.4444444444444446,4.0
Determine packaging requirements.,Logistics Analysts,2.3333333333333335,4.0
"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.",Geographers,2.8,4.0
"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",Computer Systems Analysts,2.8,4.0
"Compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders.","Production, Planning, and Expediting Clerks",3.3333333333333335,4.0
Develop Web sites.,Computer Programmers,2.6666666666666665,4.0
"Determine whether space is available on travel dates requested by customers, assigning requested spaces when available.",Reservation and Transportation Ticket Agents and Travel Clerks,2.7777777777777777,4.0
"Determine sources of Web page or server problems, and take action to correct such problems.",Web Administrators,3.1666666666666665,4.0
"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",Customer Service Representatives,2.9,4.0
Contact customers or travel agents to advise them of travel conveyance changes or to confirm reservations.,Reservation and Transportation Ticket Agents and Travel Clerks,1.6666666666666667,4.0
"Develop, maintain, and troubleshoot information access aids, such as databases, annotated bibliographies, Web pages, electronic pathfinders, software programs, and online tutorials.",Librarians and Media Collections Specialists,3.25,4.0
"Compile, sort, and verify the accuracy of data before it is entered.",Data Entry Keyers,3.0,4.0
Write program code to analyze data with statistical analysis software.,Biostatisticians,2.6666666666666665,4.0
Contact potential vendors to determine material availability.,Logistics Analysts,1.5,4.0
Create novel computational approaches and analytical tools as required by research goals.,Bioinformatics Scientists,3.0,4.0
"Compile information, such as production rates and progress, materials inventories, materials used, or customer information, so that status reports can be completed.","Production, Planning, and Expediting Clerks",3.2857142857142856,4.0
"Compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables.",Tax Preparers,3.6666666666666665,4.0
"Design or produce materials such as posters, Web sites, or newsletters to promote, market, or advertise fundraising events.",Fundraisers,3.2857142857142856,4.0
"Compute customer's installation or production costs and estimate savings from new services, products, or equipment.","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.6666666666666665,4.0
"Draft or proofread judicial opinions, decisions, or citations.",Judicial Law Clerks,2.4285714285714284,4.0
Develop or implement procedures for ongoing Web site revision.,Web Developers,2.6,4.0
Verify legal descriptions of properties by comparing them to county records.,Appraisers and Assessors of Real Estate,3.5714285714285716,4.0
Develop or analyze information to assess the current or future financial status of firms.,Financial Managers,2.5714285714285716,4.0
Develop or maintain payment systems to ensure accuracy of vendor payments.,Logistics Analysts,2.4,4.0
"Compile data for use in activities, such as gene expression profiling, genome annotation, or structural bioinformatics.",Bioinformatics Scientists,4.0,4.0
"Document software defects, using a bug tracking system, and report defects to software developers.",Software Quality Assurance Analysts and Testers,2.6666666666666665,4.0
Develop new software applications or customize existing applications to meet specific scientific project needs.,Bioinformatics Scientists,3.6,4.0
"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.",Computer User Support Specialists,3.0,3.6666666666666665
"Read source documents such as canceled checks, sales reports, or bills, and enter data in specific data fields or onto tapes or disks for subsequent entry, using keyboards or scanners.",Data Entry Keyers,4.0,3.6666666666666665
Maintain logs of activities and completed work.,Data Entry Keyers,4.25,3.6666666666666665
Test system modifications to prepare for implementation.,Software Quality Assurance Analysts and Testers,3.25,3.6666666666666665
Review loan agreements to ensure that they are complete and accurate according to policy.,Loan Officers,2.8,3.6666666666666665
"Correspond with online customers via electronic mail, telephone, or other electronic messaging to address questions or complaints about products, policies, or shipping methods.",Online Merchants,3.2,3.6666666666666665
"Study illustrations and photographs to plan presentation of materials, products, or services.",Graphic Designers,2.4,3.6666666666666665
"Receive and route messages or documents, such as laboratory results, to appropriate staff.",Medical Secretaries and Administrative Assistants,3.8,3.6666666666666665
Create or modify web-based bioinformatics tools.,Bioinformatics Scientists,3.75,3.6666666666666665
"Research production topics using the internet, video archives, and other informational sources.",Producers and Directors,2.888888888888889,3.6666666666666665
"Obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials.",Training and Development Specialists,3.5,3.6666666666666665
Perform or direct Web site updates.,Web Developers,2.4,3.6666666666666665
Prepare reports on logistics performance measures.,Logistics Analysts,3.6666666666666665,3.6666666666666665
"Prepare reports of activities, evaluations, recommendations, or decisions.",Compliance Officers,3.5,3.6666666666666665
"Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.",Accountants and Auditors,1.75,3.6666666666666665
"Address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",Mathematicians,3.111111111111111,3.6666666666666665
"Assess clients' overall financial situations by reviewing income, assets, debts, expenses, credit reports, or other financial information.",Credit Counselors,3.6,3.6666666666666665
Manage tracking and reporting of search-related activities and provide analyses to marketing executives.,Search Marketing Strategists,3.1,3.6666666666666665
"Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",Supply Chain Managers,3.1666666666666665,3.6666666666666665
Provide telephone support related to networking or connectivity issues.,Computer Network Support Specialists,3.8,3.6666666666666665
"Review final layouts and suggest improvements, as needed.",Graphic Designers,1.7142857142857142,3.6666666666666665
"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",Web Administrators,3.8,3.6666666666666665
Troubleshoot program and system malfunctions to restore normal functioning.,Computer Systems Analysts,2.5454545454545454,3.6666666666666665
Monitor and follow applicable laws and regulations.,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.6666666666666665,3.6666666666666665
"Compare liquidity, profitability, and credit histories of establishments being evaluated with those of similar establishments in the same industries and geographic locations.",Credit Analysts,3.0,3.6666666666666665
Review and update credit and loan files.,Loan Officers,3.142857142857143,3.6666666666666665
Prepare and manage biofuels plant or unit budgets.,Biofuels Production Managers,3.75,3.6666666666666665
"Enter information into computerized court calendar, filing, or case management systems.",Judicial Law Clerks,4.0,3.6666666666666665
"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting.",Medical and Health Services Managers,3.3,3.6666666666666665
"Compare information or figures on one record against same data on other records, or with original copy, to detect errors.",Proofreaders and Copy Markers,2.7142857142857144,3.6666666666666665
Analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money.,Credit Analysts,2.5555555555555554,3.5
"Determine the order of work and method of presentation, such as orthographic or isometric drawing.",Architectural and Civil Drafters,3.3333333333333335,3.5
Recommend improvements to existing or planned logistics processes.,Logistics Analysts,2.25,3.5
"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",Treasurers and Controllers,2.6,3.5
Monitor program performance to ensure efficient and problem-free operations.,Software Quality Assurance Analysts and Testers,3.75,3.5
"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates.",Cost Estimators,2.2857142857142856,3.5
"Write commentaries, columns, or scripts, using computers.","News Analysts, Reporters, and Journalists",2.375,3.5
Provide application or analytical support to researchers or traders on issues such as valuations or data.,Financial Quantitative Analysts,3.2,3.5
Maintain records of performance reports for future reference.,Aerospace Engineers,3.6666666666666665,3.5
Check preliminary and final proofs for errors and make necessary corrections.,Desktop Publishers,3.2222222222222223,3.5
"Process, prepare, and submit business or government forms, such as submitting applications for coverage to insurance carriers.",Insurance Claims and Policy Processing Clerks,2.3333333333333335,3.5
"Study the economic, political, and cultural characteristics of a specific region's population.",Geographers,2.6666666666666665,3.5
"Prepare, proofread, or process legal documents, such as summonses, subpoenas, complaints, appeals, motions, or pretrial agreements.",Legal Secretaries and Administrative Assistants,2.3,3.5
"Manipulate publicly accessible, commercial, or proprietary genomic, proteomic, or post-genomic databases.",Bioinformatics Scientists,4.166666666666667,3.5
Calculate sample size requirements for clinical studies.,Biostatisticians,4.0,3.5
"Analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs.",Architectural and Civil Drafters,3.0,3.5
Develop reports or presentations to communicate the effectiveness of sustainability initiatives.,Sustainability Specialists,2.4,3.5
"Advise clients or respond to inquiries about financial matters in person or via phone, email, Web site, or Internet chat.",Credit Counselors,2.5,3.5
Arrange for interlibrary loans of materials not available in a particular library.,Librarians and Media Collections Specialists,3.3333333333333335,3.5
"Manage backup, security and user help systems.",Computer and Information Systems Managers,3.0,3.5
"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.",Clinical Research Coordinators,2.8,3.5
"Modify computer security files to incorporate new software, correct errors, or change individual access status.",Information Security Analysts,2.625,3.5
"Provide ongoing analyses in areas such as transportation costs, parts procurement, back orders, or delivery processes.",Logistics Analysts,2.4,3.5
Answer questions and provide future tax planning to clients.,Tax Preparers,3.7142857142857144,3.5
"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.",Loan Officers,3.0,3.5
"Compose business correspondence for supervisors, managers, and professionals.",Insurance Claims and Policy Processing Clerks,3.3333333333333335,3.5
"Select material most pertinent to presentation, and organize this material into appropriate formats.","News Analysts, Reporters, and Journalists",2.8,3.5
"Create, layer, and analyze maps showing precision agricultural data, such as crop yields, soil characteristics, input applications, terrain, drainage patterns, or field management history.",Precision Agriculture Technicians,3.0,3.5
"Create, maintain, and enter information into databases.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3.111111111111111,3.5
"Answer inquiries from the general public regarding judicial procedures, court appearances, trial dates, adjournments, outstanding warrants, summonses, subpoenas, witness fees, or payment of fines.","Court, Municipal, and License Clerks",2.2857142857142856,3.5
"Analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes.",Bioinformatics Scientists,2.8333333333333335,3.5
"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.142857142857143,3.5
"Plan the contents of publications according to the publication's style, editorial policy, and publishing requirements.",Editors,1.6666666666666667,3.5
"Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.",Accountants and Auditors,3.3,3.5
"Evaluate training materials prepared by instructors, such as outlines, text, or handouts.",Training and Development Specialists,3.8,3.5
"Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.",Accountants and Auditors,3.111111111111111,3.5
Review employment applications and job orders to match applicants with job requirements.,Human Resources Specialists,3.0,3.5
"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Computer Programmers,3.1,3.5
"Assess or propose sustainability initiatives, considering factors such as cost effectiveness, technical feasibility, and acceptance.",Sustainability Specialists,2.75,3.5
"Prepare equipment inspection schedules, reliability schedules, work plans, or other records.",Mechanical Engineering Technologists and Technicians,4.0,3.5
Evaluate analytical methods and procedures to determine how they might be improved.,Quality Control Analysts,3.3333333333333335,3.5
Review insurance policy to determine coverage.,Insurance Claims and Policy Processing Clerks,3.0,3.5
Draft and type office memos.,Legal Secretaries and Administrative Assistants,1.9,3.5
"Establish work schedules and assignments for staff, according to workload, space, and equipment availability.",Medical and Health Services Managers,3.6,3.5
"Prepare data analysis listings and activity, performance, or progress reports.",Clinical Data Managers,3.375,3.5
"Prepare and maintain current data on each parcel assessed, including maps of boundaries, inventories of land and structures, property characteristics, and any applicable exemptions.",Appraisers and Assessors of Real Estate,3.1666666666666665,3.5
Prepare and review operational reports or project progress reports.,Computer and Information Systems Managers,3.1818181818181817,3.5
"Draw maps, diagrams, and profiles, using cross-sections and surveys, to represent elevations, topographical contours, subsurface formations, and structures.",Architectural and Civil Drafters,2.6666666666666665,3.5
Transcribe recorded messages or practitioners' diagnoses or recommendations into patients' medical records.,Medical Secretaries and Administrative Assistants,3.6666666666666665,3.5
"Document computer security and emergency measures policies, procedures, and tests.",Information Security Analysts,3.4,3.5
"Identify or monitor current and potential customers, using business intelligence tools.",Business Intelligence Analysts,3.2222222222222223,3.5
Conduct research and interviews to determine which of a product's selling features should be promoted.,Writers and Authors,3.6666666666666665,3.5
"Compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.","Eligibility Interviewers, Government Programs",2.75,3.5
"Develop, administer, and evaluate applicant tests.",Human Resources Managers,3.1,3.5
"Prepare, draft, and review legal documents, such as wills, deeds, patent applications, mortgages, leases, and contracts.",Lawyers,3.2857142857142856,3.5
Interpret drilling and testing information for personnel.,Petroleum Engineers,3.0,3.5
Conduct verifications of employment.,Payroll and Timekeeping Clerks,3.75,3.5
Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.,Supply Chain Managers,3.8,3.5
Compile laboratory test data and perform appropriate analyses.,Quality Control Analysts,3.3333333333333335,3.5
Prepare reports that include the degree of risk involved in extending credit or lending money.,Credit Analysts,3.2,3.5
"Identify program deviance from standards, and suggest modifications to ensure compliance.",Software Quality Assurance Analysts and Testers,3.0,3.5
"Initiate procedures to grant, modify, deny, or terminate assistance, or refer applicants to other agencies for assistance.","Eligibility Interviewers, Government Programs",2.5,3.5
"Perform general office duties, such as taking or transcribing dictation, typing or proofreading correspondence, distributing or filing official forms, or scheduling appointments.","Court, Municipal, and License Clerks",2.8333333333333335,3.5
Monitor markets or positions.,"Securities, Commodities, and Financial Services Sales Agents",3.3333333333333335,3.5
"Design, configure, and test computer hardware, networking software and operating system software.",Network and Computer Systems Administrators,3.4,3.5
"Identify spatial coordinates, using remote sensing and Global Positioning System (GPS) data.",Precision Agriculture Technicians,3.3333333333333335,3.5
Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,Computer Programmers,2.625,3.5
"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Web Developers,2.9,3.5
"Prepare data for processing by organizing information, checking for inaccuracies, and adjusting and weighting the raw data.",Statisticians,3.25,3.3333333333333335
Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,Network and Computer Systems Administrators,3.6666666666666665,3.3333333333333335
Prepare colored drawings of landscape and interior designs for presentation to client.,Architectural and Civil Drafters,2.5,3.3333333333333335
"Create three-dimensional or interactive representations of designs, using computer-assisted design software.","Architects, Except Landscape and Naval",2.8333333333333335,3.3333333333333335
"Determine size and arrangement of illustrative material and copy, and select style and size of type.",Graphic Designers,2.3333333333333335,3.3333333333333335
"Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.",Management Analysts,2.2,3.3333333333333335
"Prepare or review reports, manuscripts, or meeting presentations.",Molecular and Cellular Biologists,3.1666666666666665,3.3333333333333335
"Develop ideas or material for columns or commentaries by analyzing and interpreting news, current issues, or personal experiences.","News Analysts, Reporters, and Journalists",2.6666666666666665,3.3333333333333335
"Design test plans, scenarios, scripts, or procedures.",Software Quality Assurance Analysts and Testers,3.8333333333333335,3.3333333333333335
Develop and maintain course Web sites.,"Business Teachers, Postsecondary",3.2,3.3333333333333335
"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work.",Cost Estimators,2.2857142857142856,3.3333333333333335
Monitor security system performance logs to identify problems and notify security specialists when problems occur.,Web Developers,2.9,3.3333333333333335
Specify inputs accessed by the system and plan the distribution and use of the results.,Computer Systems Analysts,2.2222222222222223,3.3333333333333335
"Compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.",Librarians and Media Collections Specialists,2.0,3.3333333333333335
"Draw or read maps, such as soil, contour, or plat maps.",Precision Agriculture Technicians,3.0,3.3333333333333335
Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Computer Systems Engineers/Architects,3.0,3.3333333333333335
"Complete documentation needed to support testing procedures, including data capture forms, equipment logbooks, or inventory forms.",Quality Control Analysts,3.8,3.3333333333333335
"Maintain files of information relating to emergency calls, such as personnel rosters and emergency call-out and pager files.",Public Safety Telecommunicators,4.666666666666667,3.3333333333333335
"Review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.",Judicial Law Clerks,2.5,3.3333333333333335
"Compute load and grade requirements, water flow rates, or material stress factors to determine design specifications.",Civil Engineers,2.888888888888889,3.3333333333333335
Coordinate judges' meeting and appointment schedules.,Judicial Law Clerks,3.3333333333333335,3.3333333333333335
Furnish taxpayers with sufficient information and advice to ensure correct tax form completion.,Tax Preparers,2.75,3.3333333333333335
"Write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds.",Fundraisers,2.7142857142857144,3.3333333333333335
Complete and maintain assessment rolls that show the assessed values and status of all property in a municipality.,Appraisers and Assessors of Real Estate,3.8,3.3333333333333335
Complete insurance or other claim forms.,Medical Secretaries and Administrative Assistants,3.0,3.3333333333333335
Report to management regarding the finances of establishment.,Accountants and Auditors,2.2,3.3333333333333335
"Evaluate and grade students' class work, assignments, and papers.","Business Teachers, Postsecondary",3.5555555555555554,3.3333333333333335
Monitor financial market trends to ensure that client plans are responsive.,Personal Financial Advisors,3.7,3.3333333333333335
"Analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history.",Precision Agriculture Technicians,3.5,3.3333333333333335
Instruct others in the selection and use of bioinformatics tools.,Bioinformatics Scientists,2.5,3.3333333333333335
Analyze and report computer network security breaches or attempted breaches.,Computer Network Support Specialists,2.5,3.3333333333333335
"Communicate project information through presentations, technical reports, or white papers.",Computer Systems Engineers/Architects,3.5,3.3333333333333335
Research hardware or software products to meet technical networking or security needs.,Computer Network Support Specialists,2.0,3.3333333333333335
Direct the preparation of regular and special budget reports.,Budget Analysts,3.4285714285714284,3.3333333333333335
"Initiate, review, or approve modifications to project plans.",Information Technology Project Managers,2.8,3.3333333333333335
Coordinate with the media to disseminate advertising.,Advertising and Promotions Managers,3.0,3.3333333333333335
Research new software or design concepts.,Graphic Designers,2.8333333333333335,3.3333333333333335
"Draft detail drawing or sketch for drafting room completion or to request parts fabrication by machine, sheet or wood shops.",Mechanical Engineering Technologists and Technicians,2.0,3.3333333333333335
Write press releases or other media communications to promote clients.,Public Relations Specialists,2.75,3.3333333333333335
Provide feedback to designers and other colleagues regarding game design features.,Video Game Designers,1.6666666666666667,3.3333333333333335
Use computer software to generate new images.,Graphic Designers,2.142857142857143,3.3333333333333335
Maintain scheduling and event calendars.,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.5,3.3333333333333335
"Check reference materials, such as books, news files, or public records, to obtain relevant facts.","News Analysts, Reporters, and Journalists",4.0,3.3333333333333335
Analyze and interpret news and information received from various sources to broadcast the information.,"News Analysts, Reporters, and Journalists",2.2,3.3333333333333335
Review operating budgets to analyze trends affecting budget needs.,Budget Analysts,3.2857142857142856,3.3333333333333335
Provide technical guidance or support for the development or troubleshooting of systems.,Computer Systems Engineers/Architects,3.3333333333333335,3.3333333333333335
"Read and interpret blueprints, technical drawings, schematics, or computer-generated reports.",Mechanical Engineers,3.888888888888889,3.3333333333333335
"Enter digitized data into electronic prepress system computer memory, using scanner, camera, keyboard, or mouse.",Desktop Publishers,4.0,3.3333333333333335
"Estimate time for debt repayment, given amount of debt, interest rates, and available funds.",Credit Counselors,2.75,3.3333333333333335
Review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,Regulatory Affairs Managers,3.3333333333333335,3.3333333333333335
Verify energy bills and meter readings.,"Energy Engineers, Except Wind and Solar",3.25,3.3333333333333335
"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.8,3.25
"Maintain files, such as maintenance records, bills of lading, or cost reports.","Production, Planning, and Expediting Clerks",2.6666666666666665,3.25
"Prepare or organize online storefront marketing material, including product descriptions or subject lines, optimizing content to search engine criteria.",Online Merchants,3.142857142857143,3.0
"Analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions.",Precision Agriculture Technicians,2.25,3.0
Review sets of photographs to select the best work.,Photographers,2.1,3.0
Assign or schedule tasks to meet work priorities and goals.,Computer and Information Research Scientists,3.7,3.0
Prepare contract documents for building contractors.,"Architects, Except Landscape and Naval",2.0,3.0
"Review or evaluate competitive products, film, music, television, and other art forms to generate new game design ideas.",Video Game Designers,2.3333333333333335,3.0
"Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.","Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.0,3.0
"Deliver prepared sales talks, reading from scripts that describe products or services, to persuade potential customers to purchase a product or service or to make a donation.",Telemarketers,2.5,3.0
Review and evaluate notes taken about news events to isolate pertinent facts and details.,"News Analysts, Reporters, and Journalists",2.0,3.0
Conduct reference or background checks on job applicants.,Human Resources Specialists,2.4,3.0
Conduct meetings with staff to discuss production progress and to ensure production objectives are attained.,Producers and Directors,2.0,3.0
"Prepare evaluations of software or hardware, and recommend improvements or upgrades.",Computer User Support Specialists,2.625,3.0
Prepare customer invoices and accept payment.,Reservation and Transportation Ticket Agents and Travel Clerks,2.625,3.0
Review and revise sustainability proposals or policies.,Sustainability Specialists,3.1666666666666665,3.0
Compute payment schedules.,Loan Officers,3.4,3.0
Review data from contract laboratories to ensure accuracy and regulatory compliance.,Quality Control Analysts,3.6666666666666665,3.0
"Conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets.",Fundraisers,3.2,3.0
"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering.",Computer Systems Analysts,2.7,3.0
"Review information about transfers of property to ensure its accuracy, checking basic information on buyers, sellers, and sales prices and making corrections as necessary.",Appraisers and Assessors of Real Estate,3.4285714285714284,3.0
"Apply analytic methods or tools to understand, predict, or control logistics operations or processes.",Logistics Analysts,4.333333333333333,3.0
"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.",Clinical Research Coordinators,2.7,3.0
"Conduct searches to find needed information, using such sources as the Internet.","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2.5454545454545454,3.0
Promote awareness or use of alternative or renewable energy sources.,"Energy Engineers, Except Wind and Solar",2.25,3.0
"Process clinical data, including receipt, entry, verification, or filing of information.",Clinical Data Managers,3.5714285714285716,3.0
"Read copy or proof to detect and correct errors in spelling, punctuation, and syntax.",Editors,2.3,3.0
"Approve, reject, or coordinate the approval or rejection of lines of credit or commercial, real estate, or personal loans.",Financial Managers,3.0,3.0
Create custom illustrations or other graphic elements.,Art Directors,2.625,3.0
"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Quality Control Systems Managers,2.8,3.0
